-Acurácia para xn+50
-2 divisões (rede deve adivinhar se xn+50 é maior ou menor que 0.5)
-1000 conjuntos de 6 "vizinhos" (xn-5,xn-4...,xn)

-1ª coluna: número de neurônios na camada oculta
-2ª coluna: acurácia do dataset de treinamento
-3ª coluna: acurácia do dataset de teste

otimizador:adam 
20,72.0,72.33
21,72.0,72.33
22,72.0,72.33
23,72.0,72.33
24,72.0,72.33
25,72.0,72.33
26,72.0,72.33
27,72.0,72.33
28,72.0,72.33
29,72.0,72.33
30,72.0,72.33
31,72.0,72.33
32,72.0,72.33
33,72.0,72.33
34,72.0,72.33
35,72.0,72.33
36,72.0,72.33
37,72.0,72.33
38,72.0,72.33
39,72.0,72.33
40,72.0,72.33
41,72.29,72.67
42,72.0,72.33
43,72.0,72.33
44,72.57,72.33
45,72.0,72.33
46,72.0,72.33
47,72.0,72.33
48,72.0,72.33
49,72.0,72.33
50,72.0,72.33
51,72.0,72.33
52,72.0,72.33
53,72.0,72.33
54,72.0,72.33
55,72.0,72.33
56,72.0,72.33
57,72.0,72.33
58,72.14,72.33
59,72.0,72.33
60,72.0,72.33
1000,72.71,72.33
1001,72.0,72.33
